neuron_id,class,is_sensor,is_motor
URAVR,unknown,0,0
URBL,unknown,0,0
URBR,unknown,0,0
URXL,unknown,1,0
URXR,unknown,1,0
URYDL,unknown,1,0
URYDR,unknown,1,0
URYVL,unknown,1,0
URYVR,unknown,1,0
VA01,unknown,0,1
VA02,unknown,0,1
VA03,unknown,0,1
VA04,unknown,0,1
VA05,unknown,0,1
VA06,unknown,0,1
VA07,unknown,0,1
VA08,unknown,0,1
VA09,unknown,0,1
VA10,unknown,0,1
VA11,unknown,0,1
VA12,unknown,0,1
VB01,unknown,0,1
VB02,unknown,0,1
VB03,unknown,0,1
VB04,unknown,0,1
VB05,unknown,0,1
VB06,unknown,0,1
VB07,unknown,0,1
VB08,unknown,0,1
VB09,unknown,0,1
VB10,unknown,0,1
VB11,unknown,0,1
VC01,unknown,0,1
VC02,unknown,0,1
VC03,unknown,0,1
VC04,unknown,0,1
VC05,unknown,0,1
VC06,unknown,0,1
VD01,unknown,0,1
VD02,unknown,0,1
VD03,unknown,0,1
VD04,unknown,0,1
VD05,unknown,0,1
VD06,unknown,0,1
VD07,unknown,0,1
VD08,unknown,0,1
VD09,unknown,0,1
VD10,unknown,0,1
VD11,unknown,0,1
VD12,unknown,0,1
VD13,unknown,0,1
anal,unknown,0,0
dBWML1,unknown,0,0
dBWML10,unknown,0,0
dBWML11,unknown,0,0
dBWML12,unknown,0,0
dBWML13,unknown,0,0
dBWML14,unknown,0,0
dBWML15,unknown,0,0
dBWML16,unknown,0,0
dBWML17,unknown,0,0
dBWML18,unknown,0,0
dBWML19,unknown,0,0
dBWML2,unknown,0,0
dBWML20,unknown,0,0
dBWML21,unknown,0,0
dBWML22,unknown,0,0
dBWML23,unknown,0,0
dBWML24,unknown,0,0
dBWML3,unknown,0,0
dBWML4,unknown,0,0
dBWML5,unknown,0,0
dBWML6,unknown,0,0
dBWML7,unknown,0,0
dBWML8,unknown,0,0
dBWML9,unknown,0,0
dBWMR1,unknown,0,0
dBWMR10,unknown,0,0
dBWMR11,unknown,0,0
dBWMR12,unknown,0,0
dBWMR13,unknown,0,0
dBWMR14,unknown,0,0
dBWMR15,unknown,0,0
dBWMR16,unknown,0,0
dBWMR17,unknown,0,0
dBWMR18,unknown,0,0
dBWMR19,unknown,0,0
dBWMR2,unknown,0,0
dBWMR20,unknown,0,0
dBWMR21,unknown,0,0
dBWMR22,unknown,0,0
dBWMR23,unknown,0,0
dBWMR24,unknown,0,0
dBWMR3,unknown,0,0
dBWMR4,unknown,0,0
dBWMR5,unknown,0,0
dBWMR6,unknown,0,0
dBWMR7,unknown,0,0
dBWMR8,unknown,0,0
dBWMR9,unknown,0,0
hyp,unknown,0,0
intL,unknown,0,0
intR,unknown,0,0
intestine,unknown,0,0
mc1dl,unknown,0,0
mc1dr,unknown,0,0
mc1v,unknown,0,0
mc2dl,unknown,0,0
mc2dr,unknown,0,0
mc2v,unknown,0,0
mc3dl,unknown,0,0
mc3dr,unknown,0,0
mc3v,unknown,0,0
pm1d,unknown,0,0
pm1vl,unknown,0,0
pm1vr,unknown,0,0
pm2d,unknown,0,0
pm2vl,unknown,0,0
pm2vr,unknown,0,0
pm3d,unknown,0,0
pm3vl,unknown,0,0
pm3vr,unknown,0,0
pm4d,unknown,0,0
pm4vl,unknown,0,0
pm4vr,unknown,0,0
pm5d,unknown,0,0
pm5vl,unknown,0,0
pm5vr,unknown,0,0
pm6d,unknown,0,0
pm6vl,unknown,0,0
pm6vr,unknown,0,0
pm7d,unknown,0,0
pm7vl,unknown,0,0
pm7vr,unknown,0,0
pm8,unknown,0,0
sph,unknown,0,0
um1aL,unknown,0,0
um1aR,unknown,0,0
um1pL,unknown,0,0
um1pR,unknown,0,0
